pdb,mhc_class,mhc_1_species,replication,pdb_date,job_name,cdr_rmsd,cdr_rmsd_af2_full,cdr_rmsd_af2_trim,docking_rmsd_boltz_0,cdr_rmsd_boltz_0,peptide_rmsd_boltz_0,mhc_rmsd_boltz_0,tcr_rmsd_boltz_0,docking_rmsd_boltz_1,cdr_rmsd_boltz_1,peptide_rmsd_boltz_1,mhc_rmsd_boltz_1,tcr_rmsd_boltz_1,docking_rmsd_boltz_2,cdr_rmsd_boltz_2,peptide_rmsd_boltz_2,mhc_rmsd_boltz_2,tcr_rmsd_boltz_2,docking_rmsd_boltz_3,cdr_rmsd_boltz_3,peptide_rmsd_boltz_3,mhc_rmsd_boltz_3,tcr_rmsd_boltz_3,docking_rmsd_boltz_4,cdr_rmsd_boltz_4,peptide_rmsd_boltz_4,mhc_rmsd_boltz_4,tcr_rmsd_boltz_4
4p4k,II,human,true,2014-07-16T00:00:00.000000+0000,b0e34267b89d4f169c8a029da03cae2d,5.18,2.28,3.73,0.9266390187362293,1.7111513822890179,0.7335500748563142,0.7279350598399685,0.8869926708657393,1.2992300326445783,2.0305295783338924,0.5076611836562217,0.8081106161145662,1.049856405031221,0.9254428834671157,1.4300301422325383,0.5334108218294236,0.9291697092795075,0.9067649554738624,0.8374280213893347,1.2707114390052856,0.5262696571013239,0.9428620276745923,0.7728096600440777,0.9115307412579075,1.3055798739171114,0.517431610141694,0.7239148183343174,0.8315214851157987
6dfs,II,mouse,true,2019-04-17T00:00:00.000000+0000,a03ca4456e402f9f298ea1e6c69cb944,2.67,4.11,2.56,4.112343050838331,3.9114619039530494,1.1019226413310959,1.0818546071389377,0.9938482935803922,4.075109158403447,4.014827414877755,1.100487610211723,1.113197179736534,1.0238830391540779,4.617776449369899,4.322389892863396,1.1427996928057176,1.1240948352936304,1.0616601633556333,4.200918424641292,4.005805914796071,1.1765263901174576,1.1197725502342504,1.152741220059207,4.887585824279835,4.622128529656088,1.0800101697893756,1.111408912261141,0.9524420422383643
6mnn,II,mouse,true,2019-07-03T00:00:00.000000+0000,c23fa3d97b9019a71bcc78f83e1125ec,3.83,3.89,4.58,3.8478122320990975,3.9860111597074344,0.851540938532379,0.9766328077625271,0.8591179175273578,3.674981260713702,3.738600798624722,0.8762152487183736,0.7263647437416287,0.7203768047933762,2.671128628587026,2.7567152134065718,0.8907545196304251,0.8598986317703762,0.7133584675026895,2.654771394658937,2.7131902272258044,0.9291400396317608,0.6782365146409827,0.7948741334909245,3.692046530372072,3.7446482771282734,0.7365349489892521,0.7555871039935563,0.8218262213645828
4grl,II,human,true,2013-11-06T00:00:00.000000+0000,0719f50275543d7d2308a911619e7852,6.88,8.24,6.35,6.125036951284254,6.07867662955687,6.726858563984266,0.6104885258147511,1.1475001641296112,5.765198080038488,5.73763407209225,6.723338612578699,0.5816245785201725,1.024367258516056,6.24594294246803,6.150124055572192,6.714635936229863,0.6122009761342427,1.0471303888917918,5.986468643292699,5.893768458148121,6.713704916353815,0.5427245539575657,1.0970446520312767,5.879700737948638,5.835313593016213,6.5901604633875275,0.6252136790402651,1.061155755031581
3c60,II,mouse,true,2008-04-29T00:00:00.000000+0000,34a2e89a1443b37f67619d8d34cd07cc,4.08,3.98,48.35,2.4121048928630175,2.5712391782986344,0.6951966314437545,0.848903966289222,0.6807306741957795,2.2432252305318867,2.4173496105191443,0.6422955762753294,0.9660806698064516,0.6716583473318029,2.504728895759145,2.696324795384308,0.7707460341850384,0.9130455996937441,0.677537590008873,2.917246888727603,3.1539724628929084,0.7257543204093843,0.8613540158554319,0.7738970281091305,2.518464407408759,2.7280029777083246,0.7612167825056606,0.9473440641105516,0.7060390414307526
6dfx,II,human,true,2019-04-17T00:00:00.000000+0000,22db7156d2f886e235bce0725a86694b,4.07,4.17,7.63,1.3201592568189215,2.2995524820623268,0.578273886896416,0.7576262526404655,0.9250541602892918,1.595380669595673,2.742895734109346,0.6562247946628089,0.7162709254167762,1.140863820604278,1.1764856154989287,1.563218138626114,0.6945869698759648,0.7821949232949493,0.7772386933987694,1.5177105053257065,1.830315783827057,0.656660729862885,0.7457698021413979,0.7624068695262854,1.8909691211814343,2.9573743121747853,0.6963040860498159,0.7457689031375925,1.0398280497906016
3rdt,II,mouse,true,2011-12-07T00:00:00.000000+0000,2eb7f076c11e51d2ff53f65251a8a6cb,3.83,4.6,2.72,2.2022422385741107,2.5388430958404538,0.4897342830383379,1.3024846503201535,0.6088753131633454,2.0623130242098946,2.3492969300462816,0.558263604181957,1.1221661184698366,0.6400003703876977,2.2020107476449167,2.5298864905201066,0.4615259370136811,1.309248154364991,0.6015151531877367,2.2442720032687835,2.5921967664246335,0.4928912649903268,1.0154476280291025,0.6677789737422516,2.259262697457552,2.538988421661831,0.4734784091585343,1.094740023736555,0.6129614306856188
3c5z,II,mouse,true,2008-04-29T00:00:00.000000+0000,fc4719ead81feeb2ab9ff1d6acf12cbf,2.33,48.92,48.0,46.62555044524155,46.95842322265626,78.41485255927051,0.7901016953530174,0.6438464483205383,46.71144721148421,47.03956861359271,78.42230728886157,0.7172822077266612,0.6372365825376168,46.50503674217604,46.80729060082555,78.46199725821795,0.7911855958185038,0.6363481671183162,46.510323171969475,46.81003867408342,78.46821808010473,0.8205964021715837,0.5943343173887454,46.65674080228719,46.950839188800046,78.43249157923732,0.8284224898099776,0.6211197988623556
6dfw,II,mouse,true,2019-04-17T00:00:00.000000+0000,a89cd658f1f4eeaf321acb4e191e63fd,3.1,3.32,4.31,2.310607809119713,2.7962226878841303,45.469623720199266,1.4372332857776773,1.5698344923550838,2.382454266802614,2.8155823199255323,45.409673421808336,1.1699289717200139,1.5024172223539627,2.257208366609805,2.659598102357211,45.38774847335182,1.2798745615714704,1.5224405851506855,2.2652635710405655,2.9144780618043415,45.40125303879614,1.0972348609558804,1.4928691908368237,2.3797583357483836,2.800216225102035,45.34602398411929,1.4003114887573782,1.4917829669840637
3o6f,II,human,true,2011-03-02T00:00:00.000000+0000,96b9104ef308fef91dbb9bea88fb6c9a,3.93,2.68,1.9,2.7277963784454053,2.469834069346196,1.157217387004562,0.658030178718346,1.1044746094099456,2.158461265257497,1.9670983469122503,1.5228108665564584,0.7402863661704463,0.9920138897353177,3.060215108250754,2.7621430732511754,1.2040017540895624,0.7912438974500448,1.1554726698073468,3.0954630155320357,2.75886596940446,1.4806357225015878,0.6681587967582191,1.210860458866058,2.864645200461625,2.5705198260251465,1.281957800864901,0.6775149554834751,1.1463764687451599
